RANK 0: imaxLocal : 100, jmaxLocal : 100
Parameters:
Geometry data:
	Domain box size (x, y): 1.000000e+00, 1.000000e+00
	Cells (x, y): 100, 100
Iterative solver parameters:
	Max iterations: 1000000
	epsilon (stopping tolerance) : 1.000000e-06
	omega (SOR relaxation): 1.900000e+00
745 Residuum: 3.812745e-02
746 Residuum: 3.756596e-02
747 Residuum: 3.701274e-02
748 Residuum: 3.646767e-02
749 Residuum: 3.593062e-02
750 Residuum: 3.540148e-02
751 Residuum: 3.488013e-02
752 Residuum: 3.436645e-02
753 Residuum: 3.386034e-02
754 Residuum: 3.336168e-02
755 Residuum: 3.287036e-02
756 Residuum: 3.238628e-02
757 Residuum: 3.190933e-02
758 Residuum: 3.143939e-02
759 Residuum: 3.097638e-02
760 Residuum: 3.052018e-02
761 Residuum: 3.007070e-02
762 Residuum: 2.962784e-02
763 Residuum: 2.919150e-02
764 Residuum: 2.876159e-02
765 Residuum: 2.833801e-02
766 Residuum: 2.792066e-02
767 Residuum: 2.750946e-02
768 Residuum: 2.710431e-02
769 Residuum: 2.670513e-02
770 Residuum: 2.631182e-02
771 Residuum: 2.592431e-02
772 Residuum: 2.554250e-02
773 Residuum: 2.516632e-02
774 Residuum: 2.479568e-02
775 Residuum: 2.443049e-02
776 Residuum: 2.407068e-02
777 Residuum: 2.371617e-02
778 Residuum: 2.336688e-02
779 Residuum: 2.302273e-02
780 Residuum: 2.268365e-02
781 Residuum: 2.234956e-02
782 Residuum: 2.202040e-02
783 Residuum: 2.169608e-02
784 Residuum: 2.137653e-02
785 Residuum: 2.106169e-02
786 Residuum: 2.075149e-02
787 Residuum: 2.044586e-02
788 Residuum: 2.014472e-02
789 Residuum: 1.984802e-02
790 Residuum: 1.955569e-02
791 Residuum: 1.926767e-02
792 Residuum: 1.898388e-02
793 Residuum: 1.870428e-02
794 Residuum: 1.842879e-02
795 Residuum: 1.815736e-02
796 Residuum: 1.788993e-02
797 Residuum: 1.762643e-02
798 Residuum: 1.736682e-02
799 Residuum: 1.711103e-02
800 Residuum: 1.685900e-02
801 Residuum: 1.661069e-02
802 Residuum: 1.636603e-02
803 Residuum: 1.612498e-02
804 Residuum: 1.588748e-02
805 Residuum: 1.565347e-02
806 Residuum: 1.542291e-02
807 Residuum: 1.519575e-02
808 Residuum: 1.497193e-02
809 Residuum: 1.475141e-02
810 Residuum: 1.453413e-02
811 Residuum: 1.432006e-02
812 Residuum: 1.410913e-02
813 Residuum: 1.390132e-02
814 Residuum: 1.369656e-02
815 Residuum: 1.349482e-02
816 Residuum: 1.329605e-02
817 Residuum: 1.310021e-02
818 Residuum: 1.290725e-02
819 Residuum: 1.271714e-02
820 Residuum: 1.252982e-02
821 Residuum: 1.234526e-02
822 Residuum: 1.216343e-02
823 Residuum: 1.198426e-02
824 Residuum: 1.180774e-02
825 Residuum: 1.163382e-02
826 Residuum: 1.146246e-02
